driverId,week,hours-logged,miles-logged
83,4,63,2400
69,3,70,100
101,29,66,3200
103,10,59,600
79,12,74,2100
33,3,62,3900
89,3,59,3700
88,46,70,3400
38,15,64,1600
42,27,67,900
65,19,78,1600
90,27,61,2700
96,43,74,3600
107,23,76,3900
31,36,71,3900
83,37,66,3700
49,21,54,0
66,33,59,900
89,8,73,200
69,1,72,3100
81,30,55,0
71,34,67,2200
69,44,67,2700
53,40,60,2200
76,29,58,0
45,37,52,500
29,1,74,2700
50,27,58,2600
60,13,64,1600
63,46,65,1100
96,12,63,1300
20,27,72,3300
67,37,57,1300
55,1,74,3100
55,50,56,3200
71,36,57,1200
45,14,76,3100
25,4,62,1500
85,48,56,2400
13,36,70,2800
102,10,71,800
106,27,70,3600
87,3,53,3600
93,21,62,200
72,51,74,1700
99,25,75,1200
33,22,78,1100
11,49,74,2400
37,3,60,700
107,37,69,1100
16,51,74,1800
34,35,78,500
96,24,66,4000
75,47,68,3800
86,47,78,1500
81,43,75,3300
16,20,69,500
78,13,69,3400
39,2,66,500
53,29,63,2000
43,35,64,3900
106,9,52,1700
90,46,78,2900
70,25,75,3400
72,21,64,3600
70,32,65,3000
83,24,65,2600
84,12,52,1100
38,48,57,2700
105,19,58,3700
96,25,50,2900
41,42,76,400
52,2,80,1100
49,21,53,4000
53,8,62,1000
98,18,78,1000
47,6,60,1600
79,41,50,3700
105,51,59,700
91,32,60,300
97,29,74,3400
49,22,54,0
52,35,75,3200
77,34,77,2400
76,6,60,2900
13,10,75,2200
87,12,53,300
93,19,54,1800
17,21,70,1000
19,39,65,3500
58,15,70,2700
39,29,55,1300
95,6,60,3000
32,39,52,1600
42,12,80,200
91,4,56,1200
47,4,65,1900
39,38,58,1500
31,13,56,3400
86,14,72,400
90,24,53,300
93,33,73,600
36,45,79,100
43,37,66,2200
103,41,80,1800
98,12,75,1800
107,44,71,700
87,40,60,3900
20,50,70,400
98,8,73,500
89,18,69,2400
34,31,54,400
36,29,79,400
34,52,79,2300
27,50,70,200
64,30,61,2800
70,39,78,1500
102,32,54,600
83,5,74,1200
73,50,63,2800
109,36,56,4000
47,30,62,2600
74,28,59,600
27,15,59,1900
58,46,56,500
45,50,66,1600
79,20,55,0
63,8,80,2400
103,20,55,800
39,4,76,2500
70,49,56,3400
105,10,75,2100
29,41,50,3700
92,12,59,200
77,49,58,4000
51,21,77,1500
19,45,65,1200
20,5,69,3200
50,3,69,1400
83,47,69,3200
82,35,58,3300
73,25,78,2900
50,45,58,3800
33,11,56,3200
58,23,54,1500
65,30,78,3700
58,12,76,3900
62,18,57,2100
62,50,57,3600
48,3,72,1500
32,36,61,2300
48,26,74,2900
11,45,62,1700
41,27,52,1200
60,25,77,500
67,31,52,200
20,32,68,1200
47,31,77,3900
16,49,65,2900
94,52,80,2000
28,12,62,2900
60,32,52,1900
13,5,72,500
60,45,66,1300
10,36,63,2700
75,38,77,600
38,21,60,400
108,43,59,1300
36,47,61,700
12,21,72,1000
47,20,72,0
25,7,67,2200
40,25,56,2100
97,30,72,3200
12,21,61,3000
96,6,54,2800
98,49,73,2400
57,24,61,600
45,45,75,3500
26,3,52,2100
70,24,77,3600
63,33,57,2900
37,51,52,800
29,17,76,800
75,15,56,1800
14,33,54,1200
54,15,72,3800
95,35,70,3700
63,19,51,1900
104,5,56,1800
89,51,66,1400
34,22,51,4000
81,44,65,1800
78,25,64,700
21,19,50,2600
26,1,65,1800
70,20,59,2200
80,13,79,3000
21,12,69,2800
28,50,80,3800
89,46,64,1500
10,3,56,3700
69,29,74,2300
69,40,72,2100
91,49,75,600
32,31,74,1200
64,32,63,3300
17,39,63,1900
51,27,58,3100
103,29,62,1000
80,27,63,1100
96,30,79,300
103,30,66,1300
86,7,80,2400
34,17,58,3100
103,34,53,1200
104,20,68,200
29,52,51,100
86,21,62,2000
56,27,50,3100
94,36,72,2600
12,6,64,2900
26,25,60,1000
89,25,70,1400
61,10,63,800
92,46,74,2600
27,23,79,0
75,10,79,1900
92,10,69,3800
63,15,79,2300
14,33,67,3000
11,17,54,3300
66,37,65,1300
34,49,75,2300
60,40,52,600
68,10,67,1100
62,41,76,2500
30,13,77,3100
68,26,50,3100
102,19,73,2200
51,29,77,2000
86,31,66,2800
21,2,71,4000
76,22,70,2400
109,44,70,1900
91,48,69,1400
10,52,72,0
51,33,61,4000
82,16,58,1100
78,49,58,1300
27,46,52,1400
72,41,55,1200
75,50,75,2100
20,51,75,700
64,17,70,900
109,19,57,1200
41,2,80,2400
40,13,58,1000
25,22,75,3800
104,33,67,2300
94,7,54,4000
80,22,80,2300
62,19,68,500
16,12,61,500
59,16,78,0
41,47,55,1000
66,25,62,1800
32,46,55,3300
56,30,61,1300
43,26,51,200
56,32,65,200
34,32,59,2800
27,20,56,2600
54,18,67,4000
27,19,71,400
70,2,62,1200
30,17,59,3200
44,45,50,2000
95,23,59,3700
20,25,58,3600
26,37,55,3100
95,40,77,1800
93,5,74,1700
93,24,57,500
21,18,78,1800
27,20,75,2600
93,16,61,3000
69,3,60,3100
86,6,72,1500
97,32,67,2900
53,30,70,1700
76,32,71,100
47,40,56,300
77,26,68,2300
58,45,68,1200
13,6,73,1000
81,22,68,3600
95,6,69,3900
17,50,63,500
105,40,56,1200
42,22,60,3100
26,45,57,3600
54,8,61,1800
61,41,57,2600
16,25,79,3200
109,10,50,2400
105,24,74,2300
108,3,60,2100
34,39,61,900
32,39,78,3400
74,2,74,100
91,49,69,3900
37,29,77,100
46,2,80,2700
56,22,70,2000
45,7,64,3800
41,48,63,300
72,39,59,1800
101,9,74,2200
40,47,70,1700
11,48,51,2900
29,20,65,4000
40,22,60,600
90,33,80,2500
106,37,63,2100
53,49,70,1200
14,46,78,500
24,21,72,3100
64,12,68,1600
108,5,74,900
18,23,69,2600
42,21,65,3100
79,29,74,3300
79,11,57,3200
66,38,57,800
60,42,78,2900
65,30,64,3300
18,39,57,2700
33,43,69,0
102,23,58,3100
49,49,56,2700
70,46,59,2100
93,3,62,300
38,26,79,1500
20,41,71,2200
96,9,79,1200
33,26,70,3800
29,45,55,3300
33,8,60,0
31,11,64,1300
67,29,73,200
55,42,57,1400
72,39,65,2400
54,16,68,3300
56,50,72,800
31,42,60,1500
52,35,77,3200
16,40,59,0
50,24,65,3400
23,5,66,700
76,16,67,1400
63,26,69,600
60,45,60,3200
104,10,57,3100
71,51,69,2300
109,16,62,2600
76,29,68,2500
32,30,54,1400
50,28,66,1100
96,22,59,3200
67,4,66,2600
68,2,74,1400
76,2,56,3800
82,50,79,3600
106,12,66,0
26,30,74,1600
90,1,78,3100
11,19,59,2700
95,50,64,3900
53,11,75,2300
43,12,72,300
58,5,64,400
58,44,73,2800
99,50,69,1200
38,33,75,400
65,29,77,3200
83,28,59,3600
50,20,71,3600
85,23,71,600
107,37,66,1500
40,34,68,3000
95,17,72,1400
46,32,50,3700
100,12,80,2300
97,22,56,1400
98,28,69,3300
45,24,54,0
109,52,51,1700
82,30,69,1800
59,28,51,3200
41,10,58,0
80,29,51,3500
105,44,70,0
52,30,71,2300
15,37,61,3700
35,20,72,1100
102,49,51,1900
83,35,74,1600
11,46,70,3900
34,7,50,2200
94,17,75,1800
48,4,77,1000
12,26,58,3700
43,23,73,800
58,40,79,1200
10,37,73,500
82,42,57,600
47,46,50,500
98,6,76,1500
94,42,62,2600
10,35,71,3300
17,48,56,3500
46,36,80,3600
100,3,57,2200
19,38,76,2900
81,11,63,2900
16,25,50,200
90,47,67,3700
45,13,57,2100
66,18,76,500
34,23,51,3600
46,45,74,3300
77,38,56,300
65,7,50,1900
37,24,75,3800
75,29,52,2500
47,47,54,1200
84,34,50,400
65,8,63,3800
24,1,73,1300
50,41,77,3900
59,10,75,1400
69,40,68,0
31,31,74,2800
83,8,80,2300
68,49,63,1200
63,49,77,1300
85,49,69,1200
32,12,64,1500
87,13,55,3300
29,49,80,2300
23,24,57,2500
25,29,55,0
98,51,72,1600
107,47,66,3700
42,39,50,1400
100,4,52,500
65,5,54,2600
82,23,63,3100
23,1,75,1400
42,27,64,2800
11,25,61,3500
40,22,51,3400
57,6,58,3800
50,33,61,2300
63,37,73,700
103,33,71,3500
42,10,77,1600
109,34,66,2800
103,27,54,3600
57,6,76,2700
109,46,74,3900
76,39,66,900
22,42,56,3500
50,3,52,2900
99,17,67,2600
76,1,69,100
16,46,80,3900
91,13,78,700
108,19,79,2600
97,21,69,700
89,29,58,800
59,11,56,500
76,6,60,3800
41,27,69,2300
23,37,72,4000
94,6,70,300
40,11,74,1700
102,9,71,4000
22,32,53,3600
55,44,60,2900
30,26,77,1000
95,10,60,1000
58,3,74,3800
92,24,61,2900
48,48,61,2700
72,2,57,1700
12,26,76,2800
98,21,59,500
93,11,63,0
73,15,61,3800
62,1,54,2900
49,51,54,3700
35,40,53,2100
64,41,50,2300
88,13,51,1300
52,2,54,2600
93,29,77,1000
13,4,75,2600
16,20,52,2900
67,46,61,3100
73,25,58,2700
30,28,78,3100
86,6,77,2700
29,31,57,2100
102,23,70,3600
80,1,58,3200
16,51,72,600
77,37,51,1500
50,35,59,3800
56,40,78,3800
11,47,61,1700
70,11,77,4000
95,32,73,3700
13,17,76,2100
104,9,73,400
92,6,66,3300
101,19,55,3900
33,9,76,1100
38,26,54,1400
55,7,58,3300
14,14,60,1100
90,9,61,1800
53,42,64,3600
78,35,54,2100
108,12,55,600
89,32,56,3600
97,18,50,3300
108,18,67,2400
108,23,59,3000
82,35,53,3400
46,35,80,2300
66,7,53,3800
45,47,61,3300
95,31,52,3200
94,12,63,2600
104,27,72,2300
106,7,71,2300
49,24,77,700
20,16,52,400
59,51,53,500
30,12,75,1900
84,47,52,800
73,50,52,2600
14,39,65,2800
107,8,73,0
58,16,67,3300
46,28,70,3900
30,9,75,2400
94,52,75,200
48,4,73,1300
87,30,59,700
99,5,77,1900
101,8,55,1700
64,39,78,2900
16,39,74,600
97,9,74,2300
70,22,63,3300
99,41,68,0
93,30,61,100
68,17,74,1500
30,44,58,1500
53,18,73,2400
105,18,65,1900
99,9,78,700
78,30,62,1200
109,48,65,3400
44,25,55,1700
80,33,51,4000
54,18,63,2500
44,3,65,3500
34,36,67,900
74,35,80,3600
55,13,80,1900
67,24,63,1700
41,40,62,1100
108,19,65,500
104,47,62,1500
86,8,67,300
57,9,57,500
88,11,58,2700
87,20,76,1600
29,10,67,2900
49,12,75,600
72,35,71,3700
76,1,74,1000
43,46,71,3100
66,48,68,100
37,36,69,3600
53,10,72,300
87,3,76,3400
98,22,75,3300
19,5,52,1200
64,19,50,2600
19,16,55,900
72,29,60,2100
24,9,80,1500
65,6,78,3100
66,26,66,3300
78,36,75,800
76,40,66,2800
84,10,71,800
30,27,60,1900
48,11,76,3800
67,35,67,2100
71,48,61,500
59,4,51,500
45,39,55,1900
86,19,72,3300
20,23,51,1000
79,42,67,1200
101,9,74,900
42,6,60,2100
20,37,50,2600
48,20,76,400
42,48,59,1400
91,44,66,3700
65,20,76,100
54,13,67,900
26,10,54,500
81,28,51,2600
76,34,52,1000
21,37,80,2500
77,3,80,3500
82,1,56,3500
97,23,59,1100
30,37,73,900
22,28,67,600
38,30,59,100
33,20,58,4000
35,34,79,3200
80,43,69,1700
28,36,69,1600
41,31,55,3100
58,29,55,3300
44,21,77,3800
35,29,57,3500
90,11,60,100
84,20,50,100
90,52,71,1000
31,26,75,300
29,6,64,900
107,40,54,3500
55,13,78,1500
57,14,64,100
94,41,65,3500
78,6,80,300
65,48,71,3500
95,7,62,1500
86,27,72,2300
28,26,77,2900
106,42,53,2500
23,6,77,3500
68,41,73,0
101,7,60,900
19,5,54,1200
67,32,50,3700
42,21,72,1800
31,3,75,2500
101,39,60,3100
54,37,55,1200
52,27,63,3600
41,15,50,100
77,38,79,600
35,13,65,600
30,39,67,2800
61,17,71,3600
21,32,64,3600
104,22,60,1300
78,50,70,2300
30,3,51,0
57,34,55,2400
79,9,78,3500
45,5,72,1300
19,26,75,2600
40,8,54,2500
51,1,57,2000
38,27,71,400
51,40,71,1000
108,36,64,1000
38,22,64,2100
105,32,50,2700
57,34,56,200
91,2,79,0
73,21,73,700
36,21,56,1300
88,3,78,2300
48,17,51,1900
39,27,50,1200
68,19,62,2800
22,43,75,2400
67,48,80,2500
49,24,69,900
61,47,55,2100
15,23,78,2800
70,46,80,2400
100,15,51,100
103,48,80,200
62,31,76,1100
97,3,67,500
22,30,54,3900
70,47,54,3500
38,38,51,2400
25,44,65,800
51,17,74,1400
15,28,64,1100
47,21,78,1000
92,22,51,2500
20,29,71,3700
19,45,61,4000
95,31,64,1900
10,50,74,2800
56,32,73,0
40,35,62,2500
68,52,69,3700
35,29,68,1600
27,42,58,2100
46,35,74,2900
11,37,79,3000
49,8,76,3600
64,8,61,600
88,47,69,3900
63,36,67,2700
106,11,77,3700
13,38,77,2000
20,52,62,3900
13,6,50,1400
91,4,53,1100
71,22,56,300
33,32,78,1600
84,5,72,3000
97,25,74,2300
54,27,63,4000
59,32,77,600
50,33,61,1900
69,2,80,4000
36,12,56,1700
32,12,78,700
15,48,69,3700
48,7,80,1300
37,35,80,2000
106,22,66,600
74,2,51,3900
32,23,72,1100
37,33,77,1200
73,39,51,0
44,13,71,4000
78,38,71,3600
45,38,78,3500
95,29,54,3800
50,11,61,2800
72,38,77,1200
91,16,53,2500
105,14,76,3500
54,16,77,3900
65,46,65,2900
75,37,73,2800
39,14,77,3900
80,33,76,2700
40,6,69,3300
96,33,64,1900
45,33,53,2200
86,5,60,2600
37,51,58,1400
92,11,55,3600
90,6,52,4000
39,48,72,600
24,1,69,3600
35,28,62,0
69,23,71,100
105,10,78,3800
70,20,68,100
40,10,62,4000
26,5,62,500
106,36,56,2100
83,6,80,1900
43,48,67,3800
57,24,65,100
39,35,63,400
52,6,64,2100
57,26,53,3200
77,1,80,900
35,5,64,3400
106,41,73,1600
94,36,56,300
35,39,51,100
38,13,77,1200
19,22,78,1200
14,36,75,2300
83,3,79,3200
92,2,68,900
62,21,53,2600
87,7,57,2300
37,20,76,1500
104,46,78,3100
93,30,61,200
76,3,62,300
35,45,60,500
21,6,76,200
75,20,60,3400
106,30,60,600
55,31,60,200
10,27,78,600
67,22,73,1400
83,17,57,2500
68,17,62,0
105,41,52,800
41,5,65,3000
85,19,78,300
92,45,72,500
67,50,56,1800
75,18,61,2000
28,13,61,2000
28,17,68,3100
24,37,54,2700
37,20,51,800
81,9,74,1000
94,17,60,700
47,14,55,3700
69,46,68,3100
21,42,60,3300
31,33,68,400
54,38,65,1300
54,52,77,2700
81,43,71,1800
23,47,53,3100
18,18,71,2500
75,38,50,700
99,42,60,0
92,32,76,1200
106,44,56,2700
81,16,54,1200
56,7,62,3700
56,24,52,3400
98,41,70,3100
